name,address,rate,votes,cost_for_two,latitude,longitude,score
#FeelTheROLL,"Opposite Mantri Commercio, Outer Ring Road, Devarabisanahalli, Near Sakra World Hospital",3.4,7.0,200.0,12.93210220336914,77.6851806640625,3.9939375
#L-81 Cafe,"Sector 6, HSR Layout, HSR",3.8999999999999995,48.0,400.0,12.916542053222656,77.6519546508789,53.07235930735931
#refuel,"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",3.7000000000000006,37.0,400.0,12.976746559143066,77.57527923583984,32.93205555555555
1000 B.C,"16, 17th A Main, Koramangala 5th Block, Bangalore",3.1999999999999997,49.0,300.0,12.934656500000001,77.62322010000001,18.597333333333328
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,"688, Thanish Corner, 7th Main, 10th Cross, 2nd Phase, BTM, Bangalore",3.7000000000000006,41.0,450.0,12.91946792602539,77.61549377441406,22.720553192158576
11 to 11 Express Biriyanis,"Near Velankani Bus Stop, Electroniccity Phase Doddathogur, Electronic City, Bangalore",3.5,22.0,300.0,12.8505322022591,77.6616259228182,-8.747716049382719
1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",4.5,2823.0,1500.0,12.977508,77.64106200000002,4293.381015134074
12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",4.1000000000000005,354.1,2000.0,12.929998397827148,77.6256103515625,448.29430450486996
1441 Pizzeria,"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore",4.1,132.8,800.0,12.9152824,77.5855898,183.12556564544514
1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore",4.2,1732.5,1400.0,12.914129700000002,77.5914695,2308.9765306162585
1522 - The Pub,"23, 3rd Floor, Devaraja Arcade, Beside ICICI Bank, ITI Layout, MSR Nagar, New BEL Road, Bangalore",4.3,969.0,1400.0,12.976746559143066,77.57527923583984,1224.1710464361736
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",4.200000000000001,1743.2142857142858,1400.0,12.940386579503443,77.62145572575268,2218.1560828885827
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",4.0,1514.125,900.0,12.940822999999996,77.618598,980.4192362133709
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",4.1000000000000005,222.0909090909091,600.0,12.933952331542969,77.62245178222656,198.9409577893459
18+ Ice Cafe,"408, 2nd Floor, 2nd Block, Opposite Kotak Mahindra Bank, HRBR Layout, Kammanahalli, Bangalore",3.5,24.166666666666668,550.0,12.858306884765623,77.60430908203125,7.019399233217591
1947,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",4.0,808.0,850.0,12.9250046,77.5504708,1307.5870995670996
1947,"5, 4th Floor, Above GIRIAS, 15th Cross, Malleshwaram, Bangalore",4.0,1070.0,950.0,13.0059531,77.5676565,1266.17062962963
1947,"5, Ground Floor, Number 2, First Main, Industrial Town, West of Chord Road, Rajajinagar, Bangalore",3.9,620.3333333333334,1000.0,13.000503395985698,77.5495269634218,656.9960976307187
1947,"62, The High Street Building, 5th Floor, 4T Block, Opposite Vijaya College, Jayanagar, Bangalore",4.1000000000000005,2317.1666666666665,950.0,12.961576461791992,77.5967788696289,3226.810996393741
1980s Games Cafe,"63, 1st Floor, Kanakapura Road, Basavanagudi, Bangalore",3.4,58.0,400.0,12.935478,77.569017,35.81439583333333
1992 Chats - Space,"484, 11th Cross, 6th Main, Nagpura Main Road, Mahalakshmi Puram, Rajajinagar, Bangalore",3.7000000000000006,33.0,200.0,13.000744,77.544784,46.97798968253968
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",4.299999999999999,600.9375,2500.0,12.978008999999997,77.5997925,591.5018786110717
1TO3 Kitchen,"Kadubeesanahalli, Opposite JP Morgan, Marathahalli, Bangalore",3.1,11.0,800.0,12.9545259475708,77.70270538330078,4.18942857142857
2 Statez,"7th Main Road, 1st Block, HRBR Layout, Kalyan Nagar, Bangalore",3.7,210.25,600.0,13.0158536500588,77.6241521500521,205.93632358662748
20 Char - Sterlings MAC Hotel,"Sterling Mac Hotel, 134, HAL Old Airport Road, Old Airport Road, Bangalore",4.0,423.0,1400.0,12.959895899999996,77.6482638,234.5407458678887
20 Feet High,"22, Amoeba Complex, Church Street, Bangalore",4.0,935.8947368421053,1000.0,12.988395842997795,77.56914229656643,839.2265166342223
21 C - La Marvella Sarovar Premiere Hotel,"La Marvella Hotel, 1, 14th Cross, South End Circle, 2nd Block, Jayanagar, Bangalore",3.6,15.0,1000.0,12.9375,77.5826,20.226342458677685
24 Carats - The Capitol,"The Capitol, 3, Raj Bhavan Road, Near Cunningham Road, Cunningham Road, Bangalore",3.100000000000001,46.0,1000.0,12.976746559143066,77.57527923583984,25.039417825453338
24 Hours Cake Delivery,"Shop 1, ATR Complex, Old Airport Road, Bangalore",3.3,4.0,700.0,12.958798,77.662799,0.2474999999999999
24 Hours Coffee Drop - La Classic,"158, Hotel La Classic, Yedavanahalli, Attibele, Near Electronic City, Electronic City, Bangalore",3.4,9.0,800.0,12.76832,77.792075,6.585828333333335
24/7 - The Lalit Ashok Bangalore,"The Lalit Ashok, Kumara Krupa Road, Highgrounds, Seshadripuram, Bangalore",4.0,344.0,3000.0,12.9948025,77.5929489,223.3051428571429
24/7 Food Service,"21/22, Saifee Apartment, 5th Cross, 22nd Main Road, Near Rizwan Mazjid, Vinayaka Nagar, 5th Phase, JP Nagar, Bangalore",2.95,7.0,300.0,12.906097412109377,77.58045196533203,-1.2333663194444435
24@43 - The Oterra,"The Oterra, 43, Phase 1, Electronic City, Bangalore",4.1,268.0,3000.0,12.853686,77.666788,155.38704776334777
24th Main,"Cross Roads Inn, 827, Near RV Dental College Compound, 24th Main, 12th Cross, JP Nagar, Bangalore",4.1,1237.2,800.0,12.906097412109379,77.58045196533203,1525.334925712461
29 Degrees North,"62 Ramamurthy Nagar Main Road, Banaswadi (Next to Indian Bank) Bangalore",3.9,284.0,250.0,13.0150756,77.6514892,394.62095833333325
